names,date_x,score,genre,overview,crew,orig_title,status,orig_lang,budget_x,revenue,country
It’s Your Fault That My Heart Beats,06/04/2021 ,73.0,"Romance, Drama","When Tsukasa was a middle school student, she had a crush on transfer student Hayato and even confessed her feelings to him. She was turned down by Hayato. Now, Tsukasa and Hayato are classmates in high school. Hayato treats Tsukasa as just a friend, but Tsukasa still has feelings for him. Meanwhile, Hayato becomes attracted to Tsukasa.","Ukisho Hidaka, Arima Hayato, Sei Shiraishi, Shinohara Tsukasa, Mizuki Itagaki, Hasebe Yasuhiro, Nanoka Hara, Hasebe Mayu, Hana Kawamura, Sakai Midori, Jiei Wakabayashi, Takaoka Toshiki, Yumena Yanai, Hoshikawa Yayoi, Kaito Irie, Keisuke Kaneko, Nana Asakawa, Mano Rinko", 胸が鳴るのは君のせい, Released, Japanese,127520000.0,616483742.4,JP
Night at the Museum: Battle of the Smithsonian,05/21/2009 ,61.0,"Adventure, Fantasy, Action, Comedy, Family","Hapless museum night watchman Larry Daley must help his living, breathing exhibit friends out of a pickle now that they've been transferred to the archives at the Smithsonian Institution. Larry's (mis)adventures this time include close encounters with Amelia Earhart, Abe Lincoln and Ivan the Terrible.","Ben Stiller, Larry Daley, Amy Adams, Amelia Earhart, Owen Wilson, Jedediah Smith, Hank Azaria, Kahmunrah / The Thinker / Abe Lincoln, Robin Williams, Theodore Roosevelt, Christopher Guest, Ivan the Terrible, Alain Chabat, Napoleon Bonaparte, Steve Coogan, Octavius, Ricky Gervais, Dr. McPhee",Night at the Museum: Battle of the Smithsonian, Released, English,150000000.0,402231063.0,AU
Hop,04/07/2011 ,57.0,"Animation, Comedy, Family","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In L.A., he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","Russell Brand, Easter Bunny (voice), James Marsden, Fred, Kaley Cuoco, Samantha O'Hare, Hank Azaria, Carlos / Phil (voice), Elizabeth Perkins, Bonnie O'Hare, Gary Cole, Henry O'Hare, Hugh Laurie, E.B.'s Dad (voice), David Hasselhoff, Himself, Chelsea Handler, Mrs. Beck",Hop, Released, English,63000000.0,188494082.0,AU
Highlander,07/17/1986 ,69.0,"Adventure, Action, Fantasy",He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.,"Christopher Lambert, Connor 'The Highlander' MacLeod, Roxanne Hart, Brenda J. Wyatt, Clancy Brown, Victor 'The Kurgan' Kruger, Sean Connery, Juan Sanchez Villa-Lobos Ramirez, Beatie Edney, Heather MacLeod, Alan North, Lieutenant Frank Moran, Jon Polito, Det. Walter Bedsoe, Sheila Gish, Rachel Ellenstein, Hugh Quarshie, Sunda Kastagir",Highlander, Released, English,16000000.0,12900000.0,AU
Raped by an Angel 3: Sexual Fantasy of the Chief Executive,07/03/1998 ,52.0,Thriller,"A series of rapes are occurring in an Office Building. The Chief Executive is experiencing some weird visions and hallucinations. When someone close to a Cop is raped, the investigation increases ten-fold.","Alex Fong, Li Chi Shen, Angie Cheung, Ho Wai Yee, Pinky Cheung, Lau Wan Chi, Kenix Kwok, Li Li-Yin, Simon Lui, Officer Luk, John Ching Tung, Hung, Joe Junior, Psychology professor, Ronny Ching Siu-Lung, Kwan Chi-Chien, Kenny Wong Tak-Ban, Security guard", 強姦3：OL誘惑, Released, Cantonese,149000000.0,298705309.0,HK
The Irishman,11/06/2019 ,76.0,"Crime, Drama, History","Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.","Robert De Niro, Frank Sheeran, Al Pacino, Jimmy Hoffa, Joe Pesci, Russell Bufalino, Stephen Graham, Anthony 'Tony Pro' Provenzano, Ray Romano, Bill Bufalino, Harvey Keitel, Angelo Bruno, Bobby Cannavale, 'Skinny Razor', Anna Paquin, Older Peggy Sheeran, Stephanie Kurtzuba, Irene Sheeran",The Irishman, Released, English,159000000.0,914706.0,AU
Gone Mom: The Disappearance of Jennifer Dulos,06/05/2021 ,78.0,"TV Movie, Thriller, Crime","Jennifer Dulos, the wealthy, Connecticut mother-of-five who mysteriously vanished.","Annabeth Gish, Jennifer Farber Dulos, Warren Christie, Fotis Dulos, Laura Harris, Audrey, Kendra Westwood, Detective Lisa Perez, Jayce Barreiro, Detective Mike Sloan, Teresa Laverty, Judge, Heidi Bauman, Woman, Timothy Paul Coderre, Fotis' Lawyer, Michael Dodek, Ari",Gone Mom: The Disappearance of Jennifer Dulos, Released, English,132200000.0,496218384.2,US
Walking with Dinosaurs,01/01/2014 ,61.0,"Animation, Family, Adventure","Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.","Charlie Rowe, Ricky (voice), Justin Long, Patchi (voice), Karl Urban, Uncle Zack (voice), Angourie Rice, Jade (voice), John Leguizamo, Alex (voice), Skyler Stone, Scowler (voice), Tiya Sircar, Juniper (voice), Clay Savage, Radio Announcer (voice), Michael Leone, Dinosaur ID Card (voice)",Walking with Dinosaurs, Released, English,80000000.0,123368842.0,AU
The Accountant,12/16/2016 ,71.0,"Crime, Thriller, Drama","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","Ben Affleck, Chris Wolff, Anna Kendrick, Dana Cummings, J.K. Simmons, Ray King, Jon Bernthal, Braxton, Jeffrey Tambor, Francis Silverberg, Cynthia Addai-Robinson, Marybeth Medina, John Lithgow, Lamar Black, Jean Smart, Rita Blackburn, Andy Umberger, Ed Chilton",The Accountant, Released, English,40000000.0,152962083.0,AU
"Me, Myself & Irene",06/22/2000 ,66.0,Comedy,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.","Jim Carrey, Off. Charlie Baileygates / Hank Evans, Renée Zellweger, Irene P. Waters, Anthony Anderson, Jamaal Baileygates, Robert Forster, Colonel Partington, Richard Jenkins, Agent Boshane, Zen Gesner, Agent Peterson, Mongo Brownlee, Lee Harvey Baileygates, Jerod Mixon, Shante Jr. Bailreygates, Chris Cooper, Lieutenant Gerke","Me, Myself & Irene", Released, English,51000000.0,149270999.0,AU
